Armenia,Aram MP3,Not Alone,http://www.youtube.com/watch?v=ChkJpnOgIwQ
Azerbaijan,Dilara Kazimova,Start A Fire,http://www.youtube.com/watch?v=ipQswujA5gw
Denmark,Basim,Cliche Love Song,http://www.youtube.com/watch?v=fn8DzOcpQas
France,TWIN TWIN,Moustache,http://www.youtube.com/watch?v=hWJFfnHNOWI
Germany,Elaiza,Is it right,http://www.youtube.com/watch?v=mTC-4YO_5eE
Hungary,András Kállay-Saunders,Running,http://www.youtube.com/watch?v=QzfRDZmuFUI
Iceland,Pollapönk,No Prejudice,http://www.youtube.com/watch?v=TwfGKEIn5xw
Italy,Emma,La Mia Città,http://www.youtube.com/watch?v=Si9K0ChHzDI
Montenegro,Sergej Ćetković,Moj Svijet,http://www.youtube.com/watch?v=Xym7CQFFTOU
Russia,Tolmachevy Sisters,Shine,http://www.youtube.com/watch?v=MPI7AnD_QS8
San Marino,Valentina Monetta,Maybe (Forse),http://www.youtube.com/watch?v=vt_3yms1PcM
Spain,Ruth Lorenzo,Dancing in the rain,http://www.youtube.com/watch?v=P9R96ZoWJBU
Sweden,Sanna Nielsen,Undo,http://www.youtube.com/watch?v=XdXXnX5BvGY
The Netherlands,The Common Linnets,Calm After The Storm,http://www.youtube.com/watch?v=hkrF8uC92O4
Ukraine,Mariya Yaremchuk,Tick - Tock,http://www.youtube.com/watch?v=sdAf2EjhRiE
United Kingdom,Molly,Children of the Universe,http://www.youtube.com/watch?v=fFqYbibLh8k
Slovenia,Tinkara Kovač,Round and round,http://www.youtube.com/watch?v=ZMpNkCOMaGU
Romania,Paula Seling & OVI,Miracle,http://www.youtube.com/watch?v=rVTGnT3Bur0
Switzerland,Sebalter,Hunter Of Stars,http://www.youtube.com/watch?v=kjWG0oNpWog
Poland,Donatan & Cleo,My Słowianie - We Are Slavic,http://www.youtube.com/watch?v=syMhJMmGEIc
Austria,Conchita Wurst,Rise Like a Phoenix,http://www.youtube.com/watch?v=ToqNa0rqUtY
Greece,Freaky Fortune feat. RiskyKidd,Rise Up,http://www.youtube.com/watch?v=z8QIbL9i2MU
Norway,Carl Espen,Silent Storm,http://www.youtube.com/watch?v=2LBOjxBty8U
Malta,Firelight,Coming Home,http://www.youtube.com/watch?v=Qxi5C-lGX2Y
Belarus,Teo,Cheesecake,http://www.youtube.com/watch?v=0Qe7YmYgowM
Finland,Softengine,Something Better,http://www.youtube.com/watch?v=a-NSVFBKU-4
