Moldova,Eduard Romanyuta,I Want Your Love,http://www.youtube.com/watch?v=mVN723iwj8c
Armenia,Genealogy,Face The Shadow,http://www.youtube.com/watch?v=VVVvgD0-Mu0
Belgium,Loïc Nottet,Rhythm Inside,http://www.youtube.com/watch?v=xV2b3L1K6_c
The Netherlands,Trijntje Oosterhuis,Walk Along,http://www.youtube.com/watch?v=eSZwKW3RqT0
Finland,Pertti Kurikan Nimipäivät,Aina Mun Pitää,http://www.youtube.com/watch?v=OR6BixXmo08
Greece,Maria Elena Kyriakou,One Last Breath,http://www.youtube.com/watch?v=v7xKMnNcVdM
Estonia,Elina Born & Stig Rästa,Goodbye To Yesterday,http://www.youtube.com/watch?v=zWACbw3cqW0
F.Y.R. Macedonia,Daniel Kajmakoski,Autumn Leaves,http://www.youtube.com/watch?v=t8QCt6CJCHc
Serbia,Bojana Stamenov,Beauty Never Lies,http://www.youtube.com/watch?v=qJrJVsOQwEc
Hungary,Boggie,Wars For Nothing,http://www.youtube.com/watch?v=Z52QQG1hboo
Belarus,Uzari&Maimuna,Time,http://www.youtube.com/watch?v=M8ZADtaAvDA
Russia,Polina Gagarina,A Million Voices,http://www.youtube.com/watch?v=jBVY7Glcd84
Denmark,Anti Social Media,The Way You Are,http://www.youtube.com/watch?v=g8u3_DsIN2E
Albania,Elhaida Dani,I'm Alive,http://www.youtube.com/watch?v=lZJdWUmxxZw
Romania,Voltaj,De La Capat/ All Over Again,http://www.youtube.com/watch?v=WA3wOKHpzEU
Georgia,Nina Sublatti,Warrior,http://www.youtube.com/watch?v=RZrRQSI_pcQ
Azerbaijan,Elnur Huseynov,Hour Of The Wolf,http://www.youtube.com/watch?v=kYsj1fFE1Xw
Cyprus,John Karayiannis,One Thing I Should Have Done,http://www.youtube.com/watch?v=tXU2Hehc4wY
Czech Republic,Marta Jandová and Václav Noid Bárta,Hope Never Dies,http://www.youtube.com/watch?v=P_o44RdxYTY
Iceland,Maria Olafs,Unbroken,http://www.youtube.com/watch?v=sov_pE1cdFY
Ireland,Molly Sterling,Playing With Numbers,http://www.youtube.com/watch?v=zBZ7XSYX90E
Israel,Nadav Guedj,Golden Boy,http://www.youtube.com/watch?v=NdxOCTezeTg
Latvia,Aminata,Love Injected,http://www.youtube.com/watch?v=tv1ath0XWrc
Lithuania,Monika Linkytė and Vaidas Baumila,This Time,http://www.youtube.com/watch?v=oD0XTvKcUk4
Malta,Amber,Warrior,http://www.youtube.com/watch?v=wevxW3l_tkg
Montenegro,Knez,Adio,http://www.youtube.com/watch?v=4giAO-2aICo
Norway,Mørland & Debrah Scarlett,A Monster Like Me,http://www.youtube.com/watch?v=U1td70yaoS8
Poland,Monika Kuszyńska,In The Name Of Love,http://www.youtube.com/watch?v=4fjWLzeQ9K8
Portugal,Leonor Andrade,Há Um Mar Que Nos Separa,http://www.youtube.com/watch?v=xowMYNzYWbE
San Marino,Anita Simoncini & Michele Perniola,Chain of Lights,http://www.youtube.com/watch?v=l5of_gx0kjA
Slovenia,Maraaya,Here For You,http://www.youtube.com/watch?v=-oOQKYopwJ4
Sweden,Måns Zelmerlöw,Heroes,http://www.youtube.com/watch?v=AoO1V_eOEPA
Switzerland,Mélanie René,Time To Shine,http://www.youtube.com/watch?v=_n_pXW3p74Q
Australia,Guy Sebastian,Tonight Again,http://www.youtube.com/watch?v=i7MwzRBEY_M
Austria,The Makemakes,I Am Yours,http://www.youtube.com/watch?v=duW-PsDbysg
France,Lisa Angell,N'oubliez Pas,http://www.youtube.com/watch?v=kG_WJU2s5ho
Germany,Ann Sophie,Black Smoke,http://www.youtube.com/watch?v=W7u4RwkNAY0
Italy,Il Volo,Grande Amore,http://www.youtube.com/watch?v=4TEpHTVWXnM
Spain,Edurne,Amanecer,http://www.youtube.com/watch?v=9-g92hNNbPQ
United Kingdom,Electro Velvet,Still In Love With You,http://www.youtube.com/watch?v=s6r1tUhl1cQ
